Question Type,Technology,Difficulty,Question 
True/False,C++,Intermediate,C++ allows function overloading.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Coding,React,Beginner,Build a React component that displays a list of items.
True/False,Go,Intermediate,Go was developed by Google.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,C++,Beginner,C++ allows function overloading.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,React,Hard,Which hook is used to manage state in functional components?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Coding,Java,Hard,Write a Java program to check if a number is prime.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,Go,Hard,Go was developed by Google.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,React,Hard,Build a React component that displays a list of items.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Java,Beginner,Write a Java program to check if a number is prime.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,React,Hard,Which hook is used to manage state in functional components?
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,C++,Beginner,C++ allows function overloading.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
MCQs,React,Hard,Which hook is used to manage state in functional components?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,Angular,Hard,What is the role of decorators in Angular?
MCQs,Angular,Hard,What is the role of decorators in Angular?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
True/False,Go,Beginner,Go was developed by Google.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,React,Hard,Build a React component that displays a list of items.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,React,Intermediate,Build a React component that displays a list of items.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Ruby,Hard,What is a block in Ruby?
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,React,Hard,Which hook is used to manage state in functional components?
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,C++,Beginner,C++ allows function overloading.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Angular,Hard,Angular is primarily used for backend development.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,Java,Hard,Write a Java program to check if a number is prime.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Coding,Angular,Hard,Create a simple Angular form with validation.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,React,Intermediate,Build a React component that displays a list of items.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
MCQs,React,Hard,Which hook is used to manage state in functional components?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
True/False,Go,Intermediate,Go was developed by Google.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
True/False,C++,Beginner,C++ allows function overloading.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
True/False,Go,Intermediate,Go was developed by Google.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
True/False,Go,Beginner,Go was developed by Google.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
True/False,Python,Hard,Python supports multiple inheritance.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,React,Hard,Which hook is used to manage state in functional components?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,C++,Beginner,C++ allows function overloading.
True/False,Python,Beginner,Python supports multiple inheritance.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Go,Beginner,Go was developed by Google.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Coding,React,Hard,Build a React component that displays a list of items.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,Python,Hard,Python supports multiple inheritance.
MCQs,React,Hard,Which hook is used to manage state in functional components?
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Go,Intermediate,Go was developed by Google.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,Go,Hard,Go was developed by Google.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
MCQs,Ruby,Intermediate,What is a block in Ruby?
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
True/False,Go,Beginner,Go was developed by Google.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
True/False,Python,Beginner,Python supports multiple inheritance.
True/False,Go,Hard,Go was developed by Google.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,React,Beginner,Build a React component that displays a list of items.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
True/False,C++,Intermediate,C++ allows function overloading.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,Python,Beginner,Python supports multiple inheritance.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
True/False,Python,Hard,Python supports multiple inheritance.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,Angular,Hard,Angular is primarily used for backend development.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,React,Hard,Build a React component that displays a list of items.
Coding,React,Hard,Build a React component that displays a list of items.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,Go,Hard,Go was developed by Google.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
True/False,C++,Beginner,C++ allows function overloading.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
True/False,C++,Hard,C++ allows function overloading.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,C++,Intermediate,C++ allows function overloading.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Angular,Hard,Angular is primarily used for backend development.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
True/False,Python,Intermediate,Python supports multiple inheritance.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,C++,Hard,C++ allows function overloading.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Coding,Java,Hard,Write a Java program to check if a number is prime.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Go,Hard,Go was developed by Google.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
True/False,Angular,Hard,Angular is primarily used for backend development.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,Angular,Beginner,Create a simple Angular form with validation.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
